9930111J21Rik1
Mir181c
Mir182
Mir183
Mir185
Mir1896
Mir18b
Mir190a
Mir190b
Mir191
Mir1934
Mir193b
Mir196a-1
Mir196a-2
Mir199a-1
Mir199a-2
Mir19b-1
Mir19b-2
Mir1a-1
Mir200a
Mir200b
Mir200c
Mir204
Mir205
Mir206
Mir20b
Mir210
Mir211
Mir216a
Mir216b
Mir217
Mir218
Mir219a-1
Mir219a-2
Mir21a
Mir221
Mir222
Mir223
Mir224
Mir24-2
Mir27a
Mir27b
Mir28a
Mir290a
Mir291a
Mir291b
Mir292
Mir293
Mir294
Mir295
Mir296
Mir297c
Mir298
Mir29a
Mir29b-1
Mir29b-2
Mir29c
Mir300
Mir301
Mir301b
Mir302a
Mir302b
Mir302c
Mir302d
Mir322
Mir323
Mir324
Mir325
Mir331
Mir335
Mir339
Mir340
Mir342
Mir344
Mir344-2
Mir345
Mir34a
Mir34b
Mir34c
Mir351
Mir362
Mir363
Mir365-1
Mir365-2
Mir367
Mir369
Mir370
Mir374b
Mir376a
Mir378a
Mir380
Mir381
Mir382
Mir384
Mir409
Mir410
Mir431
Mir433
Mir434
Mir449a
Mir449c
Mir450-1
Mir450-2
Mir455
Mir465b-1
Mir465b-2
Mir465c-1
Mir465c-2
Mir467a-1
Mir467a-10
Mir467a-2
Mir467a-3
Mir467a-4
Mir467a-5
Mir467a-6
Mir467a-7
Mir467a-8
Mir467a-9
Mir467b
Mir467f
Mir470
Mir485
Mir489
Mir493
Mir494
Mir500
Mir503
Mir511
Mir532
Mir539
Mir540
Mir542
Mir544
Mir574
Mir592
Mir652
Mir665
Mir670
Mir671
Mir672
Mir676
Mir679
Mir680-1
Mir680-2
Mir680-3
Mir687
Mir690
Mir695
Mir7-1
Mir7-2
Mir706
Mir741
Mir743b
Mir744
Mir764
Mir7b
Mir878
Mir881
Mir9-1
Mir9-2
Mir9-3
Mir92-1
Mir92-2
Mir96
Mir99a
Mirlet7e
Mirlet7i
Mkrn1
Mme
Mmp2
Mndal
Mpc1
Mras
Mrc1
Mrgpra1
Mrpl15
Msc
Mtf2
Mx2
Myb
Mybl2
Myc
Myd88
Mylk3
Mynn
Myo18a
Myo1c
Myod1
Myog
Nanog
Ncl
Ndufa13
Nefh
Nfat5
Nfe2l2
Nfil3
Nfkb1
Nfkb2
Nfkbia
Nfkbiz
Nfyb
Nkx3-1
Nkx6-1
Nlrp12
Nme7
Nmnat3
Nol8
Nos2
Npnt
Npr2
Nr1d1
Nr5a2
Nrp2
Nub1
Nup35
Oas1a
Oas1b
Oas1c
Oas1d
Oas1e
Oas1f
Oas1g
Oas1h
Ocln
Ocstamp
Osmr
Otx2
Oxsr1
P4hb
Padi2
Parp16
Pax6
Pck1
Pck2
Pcolce
Pcolce2
Pdcd10
Pde12
Pde1b
Pde2a
Pdia3
Pdx1
Penk
Pfkp
Phb1
Phc1
Pid1
Piga
Pim1
Pla2g10
Plscr1
Pml
Pmm1
Pnpt1
Polr1f
Postn
Pou4f1
Pou4f2
Pou5f1
Ppp1r9b
Ppp3cb
Prdm5
Prkca
Prkci
Prlr
Prpf8
Ptgis
Ptgs2
Ptp4a3
Ptprt
Pxn
Pycard
Rab11fip5
Rab12
Rab20
Rab43
Rab7b
Rad23b
Rara
Rarg
Rbmx
Rbmxl1
Rc3h1
Reg1
Rel
Rela
Relb
Rfx2
Rhoa
Rif1
Ripk1
Ripk2
Ripor1
Ripor2
Rnf125
Rnf138
Rnmt
Ro60
Rora
Rpl13a
Rpl3
Rplp0
Rps16
Rps2
Rps3
Rps6kb1
Rufy4
Saa3
Sbno2
Scgb1a1
Sdad1
Sec61a1
Sele
Sell
Selp
Serpina11
Serpina16
Serpina1a
Serpina1b
Serpina1c
Serpina1d
Serpina1e
Serpina3a
Serpina3b
Serpina3c
Serpina3f
Serpina3g
Serpina3h
Serpina3i
Serpina3j
Serpina3k
Serpina3m
Serpina3n
Serpina7
Serpine1
Serpinf1
Setd2
Sfrp1
Sgms1
Sh2b3
Shank3
Shfl
Shmt1
Shmt2
Shpk
Sirpa
Sirt1
Skil
Slc11a1
Slc12a2
Slc22a21
Slc22a5
Slc25a5
Slc26a6
Slc2a4
Slc30a8
Slco1b2
Slk
Smad7
Smarca5
Smpd1
Smpd3
Smpd4
Snca
Snrnp70
Snx10
Socs1
Socs3
Sox1
Sox17
Sox9
Sp100
Sphk1
Spock2
Spp1
Spry2
Spry4
Src
Srf
Srm
Srsf1
Srsf3
Srsf7
Sstr1
St3gal6
Star
Stat1
Stat3
Stat4
Stat5a
Stat5b
Stat6
Sting1
Stip1
Stk39
Stoml1
Stx11
Stx4a
Stx8
Stxbp1
Stxbp2
Stxbp3
Stxbp4
Sycp3
Syncrip
Syngr1
Synj1
Taf9
Tank
Tcf7
Tcirg1
Tex14
Tfrc
Tgtp1
Tgtp2
Ticam2
Timp1
Timp2
Timp3
Timp4
Tle4
Tle5
Tlr2
Tlr3
Tlr4
Tmem102
Tnf
Tnfrsf11a
Tnfrsf21
Tnfsf11
Tpr
Tradd
Traf3ip2
Traf3ip3
Traf6
Traf7
Trex1
Trim2
Trim21
Trim25
Trim32
Trim56
Trim6
Trpv1
Tuba1a
Tuba1b
Ubd
Ube2g2
Ube2k
Ubtf
Ubxn2a
Upf1
Usp10
Vamp3
Vamp4
Vamp8
Vegfc
Vim
Vps26b
Was
Wdr35
Wfdc21
Wnk1
Wnt5a
Xaf1
Xbp1
Xcl1
Xcr1
Xrcc5
Ybx1
Ybx3
Ythdc2
Yy1
Zc3h12a
Zfand6
Zfp36
Zfp36l1
Zfp36l2
Zfp42
Zfp697
Zyx
